	rownames(pathwaysOut)	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	overlapOut
50	50	The human immune response to tuberculosis WP4197	4/23	0.000556506016724485	0.087556946631319	0	0	10.26035654739	76.8893941319274	IFNAR2;STAT2;PIAS1;IFNAR1	0.173913043478261
51	51	Phosphate bond hydrolysis by NUDT proteins Homo sapiens R-HSA-2393930	2/7	0.00568625786086475	0.434998726356153	0	0	16.8563000421407	87.142063491734	NUDT18;NUDT16	0.285714285714286
52	52	Phosphatidylinositol metabolism	7/50	2.01768265345558e-05	0.0304670080671792	0	0	8.25958702064897	89.2941955085434	ARF3;INPP4A;MTMR1;PIK3CD;INPP5K;PIK3C3;PIP5K1C	0.14
53	53	Development of pulmonary dendritic cells and macrophage subsets WP3892	3/13	0.0012167587064756	0.14357752736412	0	0	13.6147038801906	91.3759666951542	IRF8;TCF4;RUNX2	0.230769230769231
54	54	Post-translational modification: biosynthesis of GPI-anchored proteins	5/29	0.000115437492333066	0.0871553067114645	0	0	10.1719051978436	92.2264405088103	PIGS;PIGC;DPM2;PIGV;PIGH	0.172413793103448
55	55	Interferon type I signaling pathways WP585	8/54	3.30999219045226e-06	0.00156231631389347	0	0	8.74030372555446	110.290088302922	RPS6KA4;IFNAR2;MAPKAP1;STAT2;PIK3CD;VAV1;PIAS1;IFNAR1	0.148148148148148
56	56	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	5/25	5.45992599088712e-05	0.0168165720519323	0	0	11.7994100294985	115.816993865343	PIGS;PIGC;DPM2;PIGV;PIGH	0.2
57	57	Post-translational modification: synthesis of GPI-anchored proteins Homo sapiens R-HSA-163125	5/25	5.45992599088712e-05	0.0092818741845081	0	0	11.7994100294985	115.816993865343	PIGS;PIGC;DPM2;PIGV;PIGH	0.2
58	58	Glycosylphosphatidylinositol (GPI) biosynthesis	4/17	0.000162076384267021	0.0815784467477338	0	0	13.8816588582336	121.151384015765	PIGC;DPM2;PIGV;PIGH	0.235294117647059
59	59	Synthesis of glycosylphosphatidylinositol (GPI) Homo sapiens R-HSA-162710	4/16	0.000125613267018957	0.0174716635035458	0	0	14.7492625368732	132.482340418536	PIGC;DPM2;PIGV;PIGH	0.25
60	60	Interferon-alpha signaling pathway	3/10	0.000530189780095248	0.160117313588765	0	0	17.6991150442478	133.491602475407	IFNAR2;STAT2;IFNAR1	0.3
61	61	AMPK inhibition of chREBP transcriptional activation activity	2/5	0.00276930715516943	0.321665677254295	0	0	23.5988200589971	138.977182644408	PRKAB2;PRKAG2	0.4
62	62	N-glycan trimming and elongation in the cis-Golgi	2/5	0.00276930715516943	0.298689557450417	0	0	23.5988200589971	138.977182644408	MAN1A2;MGAT1	0.4
63	63	N-glycan trimming and elongation in the cis-Golgi Homo sapiens R-HSA-964739	2/5	0.00276930715516943	0.223002102495222	0	0	23.5988200589971	138.977182644408	MAN1A2;MGAT1	0.4
64	64	Intra-Golgi traffic Homo sapiens R-HSA-6811438	8/44	6.53319070667375e-07	0.000333192726040361	0	0	10.7267363904532	152.761600474545	CYTH4;MAN2A2;STX16;MAN1A2;COG5;GOSR2;COG1;RAB33B	0.181818181818182
65	65	IFN alpha signaling pathway Homo sapiens h ifnaPathway	3/9	0.000375845068388599	0.089075281208098	0	0	19.6656833824975	155.0901386755	IFNAR2;STAT2;IFNAR1	0.333333333333333
